unit,address,fulladdress,marketrent,unittype,Utilities benefit,Apply,updatedate,createdate
43, 43 - 456 Kingscourt Dr., 43 - 456 Kingscourt Dr. Waterloo  ,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
44, 44 - 456 Kingscourt Dr., 44 - 456 Kingscourt Dr. Waterloo  ,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
45, 45 - 456 Kingscourt Dr., 45 - 456 Kingscourt Dr. Waterloo  ,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
46, 46 - 456 Kingscourt Dr., 46 - 456 Kingscourt Dr. Waterloo  ,$885.00,3 Bed Townhouse,,1,2022-01-10,2022-01-10
101,101 - 456 Kingscourt Dr.,101 - 456 Kingscourt Dr. Waterloo  ,$630.00,1 Bed Apartment,,1,2022-01-10,2022-01-10
102,102 - 456 Kingscourt Dr.,102 - 456 Kingscourt Dr. Waterloo  ,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
103,103 - 456 Kingscourt Dr.,103 - 456 Kingscourt Dr. Waterloo  ,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
104,104 - 446 Kingscourt Dr.,104 - 446 Kingscourt Dr. Waterloo N3K 3R9,$630.00,1 Bed Apartment,,1,2022-01-10,2022-01-10
105,105 - 446 Kingscourt Dr.,105 - 446 Kingscourt Dr. Waterloo N3K 3R9,$630.00,1 Bed Apartment,,1,2022-01-10,2022-01-10
106,106 - 446 Kingscourt Dr.,106 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
107,107 - 446 Kingscourt Dr.,107 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
108,108 - 446 Kingscourt Dr.,108 - 446 Kingscourt Dr. Waterloo N3K 3R9,$630.00,1 Bed Apartment,,1,2022-01-10,2022-01-10
109,109 - 446 Kingscourt Dr.,109 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
110,110 - 446 Kingscourt Dr.,110 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
111,111 - 446 Kingscourt Dr.,111 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
112,112 - 446 Kingscourt Dr.,112 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
201,201 - 446 Kingscourt Dr.,201 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
202,202 - 446 Kingscourt Dr.,202 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
203,203 - 446 Kingscourt Dr.,203 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
204,204 - 446 Kingscourt Dr.,204 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
205,205 - 446 Kingscourt Dr.,205 - 446 Kingscourt Dr. Waterloo N3K 3R9,$695.00,2 Bed Apartment,,1,2022-01-10,2022-01-10
